ev_tdlam_before,loss_ent,loss_kl,EpThisIter,loss_pol_entpen,EpRewMean,EpLenMean,TimestepsSoFar,TimeElapsed,loss_pol_surr,loss_vf_loss,EpisodesSoFar
0.555822104215622,0.77946204,2.9433635e-05,1,0.0,0.48,3020.0,19005440,28771.97821879387,-0.0008267985,0.0017497353,6996
-1.8797791004180908,0.75165844,3.9017174e-05,2,0.0,0.48,3020.0,19009536,28775.54745054245,-0.0011580354,5.6112065e-05,6998
0.41061949729919434,0.78518033,3.6847425e-05,1,0.0,0.5,3020.0,19013632,28778.89124751091,-0.00088464085,0.0019089074,6999
0.07318013906478882,0.7225468,3.1289463e-05,1,0.0,0.49,3020.0,19017728,28781.900774002075,-0.00064110575,0.0019912054,7000
0.6172512173652649,0.74490964,4.00143e-05,2,0.0,0.49,3020.0,19021824,28785.253750562668,-0.0008676548,0.0003521649,7002
-1.127746820449829,0.72879803,3.1851723e-05,1,0.0,0.48,3020.0,19025920,28788.876438856125,-0.0011042496,5.7123892e-05,7003
0.6235857605934143,0.8253541,3.0332832e-05,2,0.0,0.49,3020.0,19030016,28792.044064998627,-0.0006566986,0.00038519446,7005
0.08712750673294067,0.79472786,5.1408544e-05,1,0.0,0.49,3020.0,19034112,28795.042064666748,-0.0011281685,0.0022975267,7006
0.03496474027633667,0.7611459,2.8119663e-05,1,0.0,0.47,3020.0,19038208,28798.21944999695,-0.00070365216,0.0018539764,7007
-0.6287094354629517,0.7821188,4.77886e-05,2,0.0,0.47,3020.0,19042304,28801.64972472191,-0.0015537846,4.8144306e-05,7009
0.48024171590805054,0.7863438,3.507027e-05,1,0.0,0.48,3020.0,19046400,28804.702482700348,-0.00104058,0.0030497385,7010
0.6756455600261688,0.7826671,4.5615925e-05,1,0.0,0.48,3020.0,19050496,28807.69587111473,-0.0010705139,0.0025475097,7011
0.5628156661987305,0.73337275,3.347726e-05,2,0.0,0.48,3010.0,19054592,28811.167318582535,-0.00083905587,0.0020186068,7013
0.06399214267730713,0.7495081,7.2953946e-05,1,0.0,0.49,3010.0,19058688,28814.796219348907,-0.0006307957,0.00075313856,7014
0.48109549283981323,0.7424465,4.5357323e-05,1,0.0,0.48,3010.0,19062784,28817.801963567734,-0.00091130077,0.0025715148,7015
-0.9694594144821167,0.8460942,4.2299664e-05,2,0.0,0.48,3010.0,19066880,28820.965159654617,-0.0013224259,0.00058435655,7017
0.16158610582351685,0.80013156,3.307735e-05,1,0.0,0.47,3010.0,19070976,28824.14306807518,-0.0010273929,0.0012665868,7018
